seed,x_cells,y_cells,area_cells,solute_mass
0,880.0411,118.8177,97,7.382870
0,43.7081,118.6142,63,3.936671
0,139.4706,116.1829,14,0.336812
0,217.5276,120.6050,121,10.754281
0,361.6832,120.3636,98,7.098916
0,486.1942,119.6771,84,6.261665
0,796.6674,126.7975,165,11.069727
0,197.4776,121.9875,108,9.050248
0,399.3466,119.6082,32,1.443185
0,445.4218,123.7431,124,10.218001
0,464.9395,122.5302,109,8.837946
0,557.1112,123.2227,100,7.884220
0,516.5527,124.9840,119,9.927148
0,941.9042,123.8357,101,8.174543
0,248.6744,126.4854,136,11.866496
0,660.7134,124.8921,101,8.055421
0,909.7625,123.4813,44,2.334399
0,1009.3024,124.7697,82,5.990957
0,924.9504,125.4130,88,6.838365
0,59.6969,130.1983,160,13.860040
0,151.6820,125.5089,46,2.331412
0,303.5571,125.8221,60,4.094708
0,977.8182,127.1206,94,7.255228
0,536.7593,127.9388,93,7.127011
0,174.7113,129.6259,128,10.400701
0,642.7050,128.9167,89,6.648339
0,134.6582,130.6637,101,7.999459
0,347.7265,131.5474,148,13.178665
0,407.9051,129.6315,48,2.736337
0,844.3462,131.9554,120,10.246258
0,274.0506,131.9013,92,6.871405
0,383.6908,134.9641,189,13.120243
0,625.2145,130.5410,66,4.543689
0,683.4598,130.5239,61,3.954188
0,960.0898,131.6066,79,5.744394
0,576.3175,130.9345,41,2.215769
0,609.8503,132.8061,108,8.566839
0,29.6215,133.0829,77,4.184976
0,429.5065,132.7725,61,4.174815
0,495.4679,134.3179,100,7.984633
0,114.8934,135.4216,120,10.100553
0,779.9002,134.5550,88,6.701752
0,757.3082,133.9515,47,2.772623
0,6.6748,137.9863,164,13.566969
0,230.7165,137.9375,133,11.676131
0,704.0577,138.1379,139,12.214770
0,822.2538,139.2541,123,9.335294
0,321.5773,141.3867,161,13.179605
0,869.4429,140.1387,175,12.132627
0,905.7595,138.4004,115,9.200927
0,995.3851,137.5855,127,9.483127
0,76.5056,142.8978,157,10.205095
0,476.8325,138.9017,108,8.416952
0,562.3586,138.1876,65,4.296350
0,737.2285,139.5175,109,8.763972
0,671.0261,140.6218,106,8.665747
0,292.4448,141.5695,144,12.364046
0,99.2831,141.1832,56,3.491791
0,161.5576,141.0680,59,3.817856
0,202.9327,142.2906,145,11.172413
0,259.0301,142.1173,60,3.783662
0,511.7277,141.9265,64,4.145640
0,416.5048,143.8577,104,8.187874
0,361.8473,145.1069,88,6.409215
0,439.9575,143.5986,59,3.824301
0,719.8792,143.3453,52,3.096350
0,937.0598,144.8061,102,8.022663
0,40.9174,145.7394,90,6.629121
0,143.3160,147.3028,152,13.860508
0,181.1934,144.4666,45,2.348715
0,579.4519,146.4815,110,8.813764
0,634.5822,144.9754,78,5.415331
0,397.9862,147.7977,93,7.253081
0,528.3233,150.8648,170,15.064130
0,546.7552,147.2422,80,5.871163
0,803.0626,148.2385,91,6.588170
0,890.9691,147.6465,76,5.429505
0,953.2373,146.8114,67,4.468430
0,975.9211,149.1892,141,12.111602
0,756.0087,149.6457,108,8.849828
0,921.8077,148.5041,78,5.253347
0,1016.5512,155.5511,207,15.513690
0,650.3719,149.4132,80,5.828615
